山东电信,#genre#
陕西卫视,http://150.138.8.143/00/SNM/CHANNEL00000029/index.m3u8
江西卫视,http://150.138.8.143/00/SNM/CHANNEL00000335/index.m3u8
东南卫视,http://150.138.8.143/00/SNM/CHANNEL00000310/index.m3u8
广东卫视,http://150.138.8.143/00/SNM/CHANNEL00000307/index.m3u8
广西卫视,http://150.138.8.143/00/SNM/CHANNEL00000368/index.m3u8
云南卫视,http://150.138.8.143/00/SNM/CHANNEL00000367/index.m3u8
贵州卫视,http://150.138.8.143/00/SNM/CHANNEL00000329/index.m3u8
海南卫视,http://150.138.8.143/00/SNM/CHANNEL00000347/index.m3u8
甘肃卫视,http://150.138.8.143/00/SNM/CHANNEL00000349/index.m3u8
厦门卫视,http://150.138.8.143/00/SNM/CHANNEL00000075/index.m3u8
深圳卫视,http://150.138.8.143/00/SNM/CHANNEL00000308/index.m3u8
西藏卫视,http://150.138.8.143/00/SNM/CHANNEL00000045/index.m3u8
新疆卫视,http://150.138.8.143/00/SNM/CHANNEL00000044/index.m3u8
内蒙古卫视,http://150.138.8.143/00/SNM/CHANNEL00000040/index.m3u8
青海卫视,http://150.138.8.143/00/SNM/CHANNEL00000366/index.m3u8
延边卫视,http://150.138.8.143/00/SNM/CHANNEL00000668/index.m3u8
重庆卫视,http://150.138.8.143/00/SNM/CHANNEL00000341/index.m3u8
兵团卫视,http://150.138.8.143/00/SNM/CHANNEL00000071/index.m3u8
大湾区卫视,http://150.138.8.143/00/SNM/CHANNEL00000670/index.m3u8
三沙卫视,http://150.138.8.143/00/SNM/CHANNEL00000078/index.m3u8
农林卫视,http://150.138.8.143/00/SNM/CHANNEL00000072/index.m3u8
中国交通,http://150.138.8.143/00/SNM/CHANNEL00000073/index.m3u8
中华特产,http://150.138.8.143/00/SNM/CHANNEL00000642/index.m3u8
金色学堂,http://150.138.8.143/00/SNM/CHANNEL00002018/index.m3u8
金鹰纪实,http://150.138.8.143/00/SNM/CHANNEL00000334/index.m3u8
纪实人文,http://150.138.8.143/00/SNM/CHANNEL00000333/index.m3u8
金鹰卡通,http://150.138.8.143/00/SNM/CHANNEL00002027/index.m3u8
经典电影,http://150.138.8.143/00/SNM/CHANNEL00000604/index.m3u8
CHC高清电影,http://150.138.8.143/00/SNM/CHANNEL00002029/index.m3u8
CHC家庭电影,http://150.138.8.143/00/SNM/CHANNEL00002028/index.m3u8
CHC动作电影,http://150.138.8.143/00/SNM/CHANNEL00002030/index.m3u8
凤凰中文,http://150.138.8.143/00/SNM/CHANNEL00000380/index.m3u8
精彩影视,http://150.138.8.143/00/SNM/CHANNEL00002012/index.m3u8
家庭理财,http://150.138.8.143/00/SNM/CHANNEL00000654/index.m3u8
嘉佳卡通,http://150.138.8.143/00/SNM/CHANNEL00000074/index.m3u8
光影,http://150.138.8.143/00/SNM/CHANNEL00000611/index.m3u8
哈哈炫动,http://150.138.8.143/00/SNM/CHANNEL00000050/index.m3u8
海洋频道,http://150.138.8.143/00/SNM/CHANNEL00000662/index.m3u8
环球旅游,http://150.138.8.143/00/SNM/CHANNEL00000643/index.m3u8
靓妆,http://150.138.8.143/00/SNM/CHANNEL00000653/index.m3u8
财富天下,http://150.138.8.143/00/SNM/CHANNEL00000607/index.m3u8
茶频道,http://150.138.8.143/00/SNM/CHANNEL00000648/index.m3u8
东方财经,http://150.138.8.143/00/SNM/CHANNEL00002025/index.m3u8
动漫秀场,http://150.138.8.143/00/SNM/CHANNEL00002000/index.m3u8
动作影院,http://150.138.8.143/00/SNM/CHANNEL00000603/index.m3u8
都市剧场,http://150.138.8.143/00/SNM/CHANNEL00002022/index.m3u8
法制天地,http://150.138.8.143/00/SNM/CHANNEL00002010/index.m3u8
车迷频道,http://150.138.8.143/00/SNM/CHANNEL00000645/index.m3u8
综艺影视,http://150.138.8.143/00/SNM/CHANNEL00001060/index.m3u8
卡酷少儿,http://150.138.8.143/00/SNM/CHANNEL00000364/index.m3u8
快乐垂钓,http://150.138.8.143/00/SNM/CHANNEL00000649/index.m3u8
乐游,http://150.138.8.143/00/SNM/CHANNEL00002016/index.m3u8
梨园频道,http://150.138.8.143/00/SNM/CHANNEL00000656/index.m3u8
美人,http://150.138.8.143/00/SNM/CHANNEL00000612/index.m3u8
魅力足球,http://150.138.8.143/00/SNM/CHANNEL00002021/index.m3u8
墨宝,http://150.138.8.143/00/SNM/CHANNEL00000610/index.m3u8
热播剧场,http://150.138.8.143/00/SNM/CHANNEL00000608/index.m3u8
生活时尚,http://150.138.8.143/00/SNM/CHANNEL00002019/index.m3u8
少儿动画,http://150.138.8.143/00/SNM/CHANNEL00000605/index.m3u8
生态环境,http://150.138.8.143/00/SNM/CHANNEL00000644/index.m3u8
卫视综艺,http://150.138.8.143/00/SNM/CHANNEL00000338/index.m3u8
文物宝库,http://150.138.8.143/00/SNM/CHANNEL00000658/index.m3u8
书画,http://150.138.8.143/00/SNM/CHANNEL00000651/index.m3u8
四海钓鱼,http://150.138.8.143/00/SNM/CHANNEL00000640/index.m3u8
武术世界,http://150.138.8.143/00/SNM/CHANNEL00000657/index.m3u8
喜剧影院,http://150.138.8.143/00/SNM/CHANNEL00000602/index.m3u8
先锋兵羽,http://150.138.8.143/00/SNM/CHANNEL00000650/index.m3u8
相声小品,http://150.138.8.143/00/SNM/CHANNEL00000606/index.m3u8
新动漫,http://150.138.8.143/00/SNM/CHANNEL00000659/index.m3u8
优漫,http://150.138.8.143/00/SNM/CHANNEL00000049/index.m3u8
优优宝贝,http://150.138.8.143/00/SNM/CHANNEL00000641/index.m3u8
游戏风云,http://150.138.8.143/00/SNM/CHANNEL00002024/index.m3u8
济南都市,http://150.138.8.143/00/SNM/CHANNEL00000062/index.m3u8
济南教育,http://150.138.8.143/00/SNM/CHANNEL00000069/index.m3u8
济南鲁中,http://150.138.8.143/00/SNM/CHANNEL00000244/index.m3u8
济南少儿,http://150.138.8.143/00/SNM/CHANNEL00000067/index.m3u8
济南生活,http://150.138.8.143/00/SNM/CHANNEL00000063/index.m3u8
济南文旅体育,http://150.138.8.143/00/SNM/CHANNEL00000064/index.m3u8
济南新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000312/index.m3u8
济南娱乐,http://150.138.8.143/00/SNM/CHANNEL00000065/index.m3u8
QTV1,http://150.138.8.143/00/SNM/CHANNEL00000500/index.m3u8
QTV2,http://150.138.8.143/00/SNM/CHANNEL00000501/index.m3u8
